date,content,reliability,clean_content
2020-04-02,Social Security recipients to automatically get coronavirus money,1,social secur recipi automat get coronaviru money
2020-04-01,Children in need census 2019 to 2020: guide,1,children need censu guid
2020-04-01,Harry Pottering around at home? Rowling to rescue bored kids in lockdown,1,harri potter around home rowl rescu bore kid lockdown
2020-03-30,"Coronavirus: Over 4,000 cases reported in Pennsylvania",1,coronaviru over 4 case report pennsylvania
2020-03-29,M&A in Times of COVID-19,1,ma time covid
2020-03-26,Pennsylvania to push back primary election date in light of coronavirus spread,1,pennsylvania push back primari elect date light coronaviru spread
2020-03-23,Britain imposes lockdown to combat spread of coronavirus,1,britain impos lockdown combat spread coronaviru
2020-03-21,California's stay-at-home order leaves homeless on street and vulnerable,1,california stay home order leaf homeless street vulner
2020-03-20,California governor issues statewide 'stay at home' order over coronavirus,1,california governor issu statewid stay home order coronaviru
2020-03-19,Two generic drugs being tested in in race to find coronavirus treatments,1,two gener drug test race find coronaviru treatment
2020-03-19,GE Healthcare ramps up ventilator production amid coronavirus spread,1,ge healthcar ramp ventil product amid coronaviru spread
2020-03-18,Check on the elderly during coronavirus outbreak—it could save lives,1,check elderli coronaviru outbreak could save life
2020-03-18,India says 276 citizens have tested positive for coronavirus overseas,1,india say citizen test posit coronaviru oversea
2020-03-17,At a glance: Democratic presidential primary results and state delegate counts,1,at glanc democrat presidenti primari result state deleg count
2020-03-16,Chelsea's Mount defies self-isolation protocol to play in public park,1,chelsea mount defi self isol protocol play public park
2020-03-15,"Pence - Americans will have access to more than 2,000 labs for coronavirus testing",1,penc american access 2 lab coronaviru test
2020-03-13,France to ban gatherings of more than 100 people due to coronavirus,1,franc ban gather peopl due coronaviru
2020-03-12,Czechs shut borders to travellers from 15 countries,1,czech shut border travel countri
2020-03-11,False claim: Military tanks are deployed amid prison riots triggered by coronavirus measures in Italy,1,fals claim militari tank deploy amid prison riot trigger coronaviru measur itali
2020-03-10,China's President Xi visits Wuhan as number of new coronavirus cases tumbles,1,china presid xi visit wuhan number new coronaviru case tumbl
2020-03-05,$194 for hand sanitizer? You must be joking,1,hand sanit you must joke
