date,content,reliability,clean_content
2020-04-03,Europe's north-south lockdown divide revealed by Google data,1,europ north south lockdown divid reveal googl data
2020-04-03,Stamp Duty and Stamp Duty Reserve Tax: transfer schemes of arrangement,1,stamp duti stamp duti reserv tax transfer scheme arrang
2020-04-02,"Mecca, Medina get 24-hour curfew; Gulf migrant worker districts locked down",1,mecca medina get hour curfew gulf migrant worker district lock
2020-04-01,China clamps down on coronavirus test kit exports after accuracy questioned,1,china clamp coronaviru test kit export accuraci question
2020-03-31,River Thames: lock and weir fishing permit application form,1,river thame lock weir fish permit applic form
2020-03-29,New York state coronavirus deaths increase by 237 in past day: governor,1,new york state coronaviru death increas past day governor
2020-03-28,"Canada to block people with COVID-19 symptoms from domestic flights, trains",1,canada block peopl covid symptom domest flight train
2020-03-28,Australia tightens social distancing rules to combat coronavirus,1,australia tighten social distanc rule combat coronaviru
2020-03-27,"In Iraq, coronavirus terrifies even doctors hardened by conflict",1,in iraq coronaviru terrifi even doctor harden conflict
2020-03-25,Exemptions from Devices regulations during the coronavirus (COVID-19) outbreak,1,exempt devic regul coronaviru covid outbreak
2020-03-25,Managing the Flow of Ideas in a Pandemic,1,manag flow idea pandem
2020-03-23,Louis Dreyfus sees food demand holding up in coronavirus crisis,1,loui dreyfu see food demand hold coronaviru crisi
2020-03-23,"CVS to hire 50,000 employees for coronavirus assistance",1,cv hire employe coronaviru assist
2020-03-22,Lockdowns not enough to defeat coronavirus - WHO's Ryan,1,lockdown enough defeat coronaviru who ryan
2020-03-21,RPT-Hong Kong activates only a third of virus quarantine wristbands as thousands return home,1,rpt hong kong activ third viru quarantin wristband thousand return home
2020-03-20,Germans warned: Keep your distance or face a curfew,1,german warn keep distanc face curfew
2020-03-19,"ECB's emergency scheme comes at right time, key to use all tools - Holzmann",1,ecb emerg scheme come right time key use tool holzmann
2020-03-18,"New York City 'almost to point' of recommending 'shelter-in-place' to Governor, NYC Mayor says",1,new york citi almost point recommend shelter place governor nyc mayor say
2020-03-18,British supermarkets impose limits as panic buying spreads,1,british supermarket impos limit panic buy spread
2020-03-16,BioNTech in China alliance with Fosun over coronavirus vaccine candidate,1,biontech china allianc fosun coronaviru vaccin candid
2020-03-15,"France reports 36 more coronavirus deaths, raising total to 127",1,franc report coronaviru death rais total
2020-03-11,False claim: Military tanks are deployed amid prison riots triggered by coronavirus measures in Italy,1,fals claim militari tank deploy amid prison riot trigger coronaviru measur itali
2020-03-11,"UPDATE 2-FirstGroup to sell North American units, not seeing much coronavirus impact",1,updat 2 firstgroup sell north american unit see much coronaviru impact
2020-03-09,Oil collapses after Saudi Arabia fires opening salvo in price war,1,oil collaps saudi arabia fire open salvo price war
2020-03-08,New York City could hit 100 coronavirus cases in two to three weeks: mayor,1,new york citi could hit coronaviru case two three week mayor
2020-03-05,Bethlehem's Church of the Nativity ordered closed over coronavirus fears,1,bethlehem church nativ order close coronaviru fear
2020-03-05,Watson and Wilson back for England against Wales,1,watson wilson back england wale
2020-02-28,Going viral: Six charts and the $6 trillion loss,1,go viral six chart 6 trillion loss
2020-02-28,Hong Kongers turn out for indie club's last performance as coronavirus forces closure,1,hong konger turn indi club last perform coronaviru forc closur
2020-02-27,"Mexico to let cruise ship dock as crew member found to have flu, not coronavirus",1,mexico let cruis ship dock crew member found flu coronaviru
2020-02-15,Belgium coach Martinez hints at Fellaini recall,1,belgium coach martinez hint fellaini recal
2020-02-14,China’s Beijing sets 14-day quarantine rule for arrivals - official daily,1,china beij set day quarantin rule arriv offici daili
2020-01-19,China reports 17 more cases of new virus strain,1,china report case new viru strain
2020-05-31,"As protests rage, Trump will not move to seize control of National Guard troops",1,as protest rage trump move seiz control nation guard troop
2020-05-28,Basketball-Hall delays Bryant's enshrinement ceremony due to COVID-19,1,basketbal hall delay bryant enshrin ceremoni due covid
2020-05-28,Mumbai DJ swaps deck for doctor's scrubs to fight coronavirus,1,mumbai dj swap deck doctor scrub fight coronaviru
2020-05-27,Brent Cross owner Hammerson says CEO to step down,1,brent cross owner hammerson say ceo step
2020-05-26,Novavax launches its first coronavirus vaccine test on humans,1,novavax launch first coronaviru vaccin test human
2020-05-21,FINA postpones 2020 World Swimming Championships to December 2021 due to COVID-19,1,fina postpon world swim championship decemb due covid
2020-05-21,How should I clean and store my face mask?,1,how i clean store face mask
2020-05-21,More than 300 attacks on UK emergency staff prosecuted during COVID-19 lockdown,1,more attack uk emerg staff prosecut covid lockdown
2020-05-21,California to give guidelines for restarting TV and movie production,1,california give guidelin restart tv movi product
2020-05-20,U.S. Department of Justice warns California governor over pandemic church closings,1,u s depart justic warn california governor pandem church close
2020-05-15,UPDATE 1-Credit rating 'fallen angel' danger at record high -S&P Global,1,updat 1 credit rate fallen angel danger record high sp global
2020-05-15,Ethiopian Airlines CEO expects settlement with Boeing by end-June,1,ethiopian airlin ceo expect settlement boe end june
2020-05-12,Russian President Vladimir Putin's spokesman tests positive for coronavirus,1,russian presid vladimir putin spokesman test posit coronaviru
2020-05-12,Coronavirus-hit German economy contracted by up to 25% - KfW,1,coronaviru hit german economi contract kfw
2020-05-07,California predicts $54.3 billion budget deficit due to coronavirus,1,california predict 3 billion budget deficit due coronaviru
2020-05-05,"Peru's president confirms coronavirus caseload now over 50,000",1,peru presid confirm coronaviru caseload
2020-05-04,Fiona Dickie on becoming the Pubs Code Adjudicator,1,fiona dicki becom pub code adjud
2020-05-03,"WHO's Ryan says world is in 'fight of our lives', but there is hope",1,who ryan say world fight life hope
2020-05-01,FDA's lax rules on coronavirus blood tests open U.S. market to dubious vendors,1,fda lax rule coronaviru blood test open u s market dubiou vendor
2020-04-30,"Delta, Frontier to require facial coverings on flights",1,delta frontier requir facial cover flight
2020-04-29,"Barclays CEO says 'putting 7,000 people in a building may be thing of the past'",1,barclay ceo say put 7 peopl build may thing past
2020-04-28,Eat safe: The takeaway on takeout (and other food),1,eat safe the takeaway takeout food
2020-04-28,Students in England encouraged to apply now for student finance,1,student england encourag appli student financ
