date,content,reliability,clean_content
2020-04-02,Social Security recipients to automatically get coronavirus money,1,social secur recipi automat get coronaviru money
2020-03-29,M&A in Times of COVID-19,1,ma time covid
2020-03-18,India says 276 citizens have tested positive for coronavirus overseas,1,india say citizen test posit coronaviru oversea
2020-03-16,Chelsea's Mount defies self-isolation protocol to play in public park,1,chelsea mount defi self isol protocol play public park
2020-03-13,France to ban gatherings of more than 100 people due to coronavirus,1,franc ban gather peopl due coronaviru
2020-03-05,$194 for hand sanitizer? You must be joking,1,hand sanit you must joke
2020-03-04,"Coronavirus median incubation period 5-7 days, maximum 14 - Chinese Medical Association",1,coronaviru median incub period 5 7 day maximum chines medic associ
2020-03-01,Nigeria identifies 100 who may have been exposed to coronavirus patient,1,nigeria identifi may expos coronaviru patient
2020-02-14,Solo lunches and masks: Chinese returning to work grapple with coronavirus,1,solo lunch mask chines return work grappl coronaviru
2020-02-10,Tottenham's Alli apologises for coronavirus video,1,tottenham alli apologis coronaviru video
2020-05-18,First COVID-19 vaccine tested in the U.S. shows promise in data from eight people,1,first covid vaccin test u s show promis data eight peopl
2020-05-14,Trio of African American professionals create children’s book about COVID-19,1,trio african american profession creat child book covid
2020-04-28,Eat safe: The takeaway on takeout (and other food),1,eat safe the takeaway takeout food
2020-04-27,7 tips for going outside safely with your children during the COVID-19 pandemic,1,7 tip go outsid safe child covid pandem
2020-04-27,"Hungarian couple recreate scenes from 'Game of Thrones', 'Ghost' during lockdown",1,hungarian coupl recreat scene game throne ghost lockdown
2020-04-27,House Speaker Nancy Pelosi endorses Joe Biden for president,1,hous speaker nanci pelosi endors joe biden presid
2020-04-23,Tom Hanks sends typewriter to bullied Australian boy named Corona,1,tom hank send typewrit bulli australian boy name corona
2020-04-20,Students’ video goodbyes show the love and strength of Bruin family,1,student video goodby show love strength bruin famili
2020-04-10,"Outbid and left hanging, states scramble for ventilators",1,outbid left hang state scrambl ventil
2020-07-27,Equine owners urged to microchip horses ahead of 1st October deadline,1,equin owner urg microchip hors ahead 1st octob deadlin
2020-07-12,"Aishwarya Rai Bachchan coronavirus-positive, joining father-in-law, husband",1,aishwarya rai bachchan coronaviru posit join father law husband
2020-07-07,Free ambulance helps save mothers and babies in Kenya lockdown,1,free ambul help save mother babi kenya lockdown
2020-07-01,COVID-19: exceedances in Leicester,1,covid exceed leicest
2020-06-02,Around 7.3 million people in Germany on reduced hours over pandemic: Ifo,1,around 7 3 million peopl germani reduc hour pandem ifo
2020-02-29, Russia announces the closure of airspace and suspends all incoming and outgoing flights to China.		,0,russia announc closur airspac suspend incom outgo flight china
2020-03-09, UNICEF advises a certain set of steps to follow for coronavirus.		,0,unicef advis certain set step follow coronaviru
2020-03-12, Of the Trump administration's European travel restrictions that exempt the U.K.,0,of trump administr european travel restrict exempt u k
2020-03-30," World Economic Forum is a ""fascist cabal""Â manipulating coronavirus.		",0,world econom forum fascist cabal â manipul coronaviru
2020-04-05, Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.		,0,coronaviru death toll u s inflat inclus unrel death
2020-04-12," The US $1,200 coronavirus relief checks this year are ""just an advance on your next tax return. ... Next year, you're automatically going to owe $1,200 come tax season.""Â		",0,the us 1 coronaviru relief check year advanc next tax return next year automat go owe 1 come tax season â
2020-04-13," ""The president looks like he was ahead of the curve - as you know, he talks about this all the time - on shutting down travel from China.""Â		",0,the presid look like ahead curv know talk time shut travel china â
2020-04-17," A banner with a swastika, ""Trump""Â and ""Pence""Â is from a Michigan coronavirus protest.		",0,a banner swastika trump â penc â michigan coronaviru protest
2020-04-21," In India, Kerala High Court orders Kerala government to cease business with controversial data analytics company Sprinklr while hearing a Public interest litigation suite on April 21, 2020.		",0,in india kerala high court order kerala govern ceas busi controversi data analyt compani sprinklr hear public interest litig suit april
2020-04-25, UK dropped Huawei as 5G vendor due to coronavirus fears.		,0,uk drop huawei 5g vendor due coronaviru fear
2020-04-26," WHO warned that the second wave of the pandemic would be ""catastrophic""Â.		",0,who warn second wave pandem would catastroph â
2020-05-08," ""The mainstream media pretended there was a deadly surge in COVID cases thanks to Wisconsinites voting.""Â		",0,the mainstream medium pretend deadli surg covid case thank wisconsinit vote â
2020-05-18," Texas and Florida have a ""balanced budget""Â while California is ""in debt $54 billion and New York is ""in debt $6.1 billion.""Â		",0,texa florida balanc budget â california debt billion new york debt 6 1 billion â
2020-05-19, The survival rate for COVID-19 is 98.54% in the UK.		,0,the surviv rate covid uk
