date,content,reliability,clean_content
2020-04-03,Trump advises voluntary mask use against coronavirus but won't wear one himself,1,trump advis voluntari mask use coronaviru wear one
2020-04-03,Stamp Duty and Stamp Duty Reserve Tax: transfer schemes of arrangement,1,stamp duti stamp duti reserv tax transfer scheme arrang
2020-04-02,Social Security recipients to automatically get coronavirus money,1,social secur recipi automat get coronaviru money
2020-04-01,Regulatory status of equipment being used to help prevent coronavirus (COVID-19),1,regulatori statu equip use help prevent coronaviru covid
2020-03-31,"Indian doctors fight coronavirus with raincoats, helmets amid lack of equipment",1,indian doctor fight coronaviru raincoat helmet amid lack equip
2020-03-30,Six members of Congress diagnosed with coronavirus,1,six member congress diagnos coronaviru
2020-03-29,M&A in Times of COVID-19,1,ma time covid
2020-03-24,Pentagon leaders indicate coronavirus outbreak could last for months,1,pentagon leader indic coronaviru outbreak could last month
2020-03-24,Indian police clear out anti-government protest citing coronavirus,1,indian polic clear anti govern protest cite coronaviru
2020-03-22,Australian states to consider draconian measures to enforce social distancing,1,australian state consid draconian measur enforc social distanc
2020-03-21,Qatar shuts parks and public beaches over coronavirus,1,qatar shut park public beach coronaviru
2020-03-21,Loot in the boot: British police nab toilet paper thieves,1,loot boot british polic nab toilet paper thief
2020-03-20,"Mexico, former swine flu hub, tests nerves with coronavirus strategy",1,mexico former swine flu hub test nerv coronaviru strategi
2020-03-19,"Coronavirus infections top 2,000 in Austria, more border controls imposed",1,coronaviru infect top 2 austria border control impos
2020-03-18,Faculty Q&A: America's prisons and social distancing,1,faculti qa america prison social distanc
2020-03-18,India says 276 citizens have tested positive for coronavirus overseas,1,india say citizen test posit coronaviru oversea
2020-03-17,Possible charity scams related to coronavirus,1,possibl chariti scam relat coronaviru
2020-03-17,Social media giants warn of AI moderation errors as coronavirus empties offices,1,social medium giant warn ai moder error coronaviru empti offic
2020-03-17,Coronavirus outbreak threatens Rio's beloved beach days,1,coronaviru outbreak threaten rio belov beach day
2020-03-16,Chelsea's Mount defies self-isolation protocol to play in public park,1,chelsea mount defi self isol protocol play public park
2020-03-13,"Preparing for coronavirus lockdown, Kuwait asks Muslims to pray at home",1,prepar coronaviru lockdown kuwait ask muslim pray home
2020-03-13,France to ban gatherings of more than 100 people due to coronavirus,1,franc ban gather peopl due coronaviru
2020-03-12,"With elbow taps and fist bumps, French elections candidates defy coronavirus",1,with elbow tap fist bump french elect candid defi coronaviru
2020-03-06,COVID-19 media fact sheet,1,covid medium fact sheet
2020-03-05,$194 for hand sanitizer? You must be joking,1,hand sanit you must joke
2020-03-04,"Coronavirus median incubation period 5-7 days, maximum 14 - Chinese Medical Association",1,coronaviru median incub period 5 7 day maximum chines medic associ
2020-03-03,'Perfect Storm': Washington virus deaths highlight risk at nursing homes,1,perfect storm washington viru death highlight risk nurs home
2020-03-01,Nigeria identifies 100 who may have been exposed to coronavirus patient,1,nigeria identifi may expos coronaviru patient
2020-02-28,Going viral: Six charts and the $6 trillion loss,1,go viral six chart 6 trillion loss
